Date,Open,High,Low,Close,Adj Close,Volume
2007-01-04,4.630000,4.698000,4.420000,4.450000,3.513152,59397235
2007-01-05,4.450000,4.660000,4.362000,4.598000,3.629994,59443000
2007-01-08,4.586000,5.058000,4.576000,5.058000,3.993152,73390545
2007-01-09,5.100000,5.200000,5.000000,5.056000,3.991573,58372085
2007-01-10,5.072000,5.272000,5.072000,5.224000,4.124204,42214585
2007-01-11,5.180000,5.536000,5.180000,5.358000,4.229993,44026015
2007-01-12,5.300000,5.400000,5.128000,5.140000,4.057888,39548630
2007-01-15,5.158000,5.420000,5.020000,5.386000,4.252098,48440610
2007-01-16,5.402000,5.650000,5.290000,5.406000,4.267888,79912040
2007-01-17,5.456000,5.594000,5.140000,5.274000,4.163677,64078430
2007-01-18,5.260000,5.416000,5.116000,5.404000,4.266308,51518115
2007-01-19,5.408000,5.818000,5.340000,5.700000,4.499992,74031880
2007-01-22,5.710000,5.992000,5.652000,5.884000,4.645256,55645715
2007-01-23,5.880000,5.880000,5.502000,5.600000,4.421046,53525005
2007-01-24,5.604000,5.700000,5.536000,5.592000,4.414730,41065010
2007-01-25,5.550000,5.550000,5.214000,5.214000,4.116310,65496330
2007-01-26,5.120000,5.308000,4.800000,5.300000,4.184203,63584580
2007-01-29,5.300000,5.390000,5.200000,5.298000,4.182624,39413270
2007-01-30,5.320000,5.346000,5.104000,5.122000,4.043678,31444090
2007-01-31,5.098000,5.098000,4.620000,4.620000,3.647362,63884825
2007-02-01,4.602000,4.860000,4.560000,4.800000,3.789467,41544810
2007-02-02,4.800000,4.820000,4.512000,4.520000,3.568415,39099185
2007-02-05,4.440000,4.696000,4.440000,4.646000,3.667889,35691865
2007-02-06,4.646000,4.716000,4.380000,4.716000,3.723152,55671815
2007-02-07,4.780000,4.806000,4.552000,4.580000,3.615783,65612385
2007-02-08,4.660000,4.832000,4.620000,4.802000,3.791047,48799380
2007-02-09,4.818000,4.980000,4.762000,4.856000,3.833678,47981305
2007-02-12,4.870000,5.020000,4.870000,5.020000,3.963151,32998355
2007-02-13,5.060000,5.068000,4.868000,4.956000,3.912625,43794490
2007-02-14,4.956000,5.004000,4.900000,4.980000,3.931573,37523865
2007-02-15,5.010000,5.190000,5.004000,5.160000,4.073678,42707825
2007-02-16,5.184000,5.490000,5.184000,5.354000,4.226836,60287520
