Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,26.290001,26.709999,25.709999,26.040001,21.580648,4626300
2007-01-04,26.070000,26.580000,25.730000,25.980000,21.530926,2647900
2007-01-05,26.150000,26.250000,25.690001,25.840000,21.414900,2945700
2007-01-08,25.840000,25.879999,25.049999,25.389999,21.041962,4056200
2007-01-09,25.549999,25.750000,25.340000,25.469999,21.108259,2716200
2007-01-10,25.250000,25.620001,25.170000,25.430000,21.075106,2716900
2007-01-11,25.450001,26.070000,25.389999,25.969999,21.522631,2538500
2007-01-12,25.969999,26.540001,25.930000,26.400000,21.879002,3409200
2007-01-16,26.600000,26.740000,25.959999,26.350000,21.837561,5385500
2007-01-17,26.540001,27.250000,26.540001,26.969999,22.351385,4721900
2007-01-18,27.059999,27.360001,26.830000,27.090000,22.450838,3096400
2007-01-19,27.320000,27.700001,26.910000,27.530001,22.815477,4137800
2007-01-22,27.530001,27.620001,26.830000,27.129999,22.483984,2685900
2007-01-23,27.750000,29.379999,27.750000,28.370001,23.511639,11517200
2007-01-24,28.230000,28.850000,27.900000,28.750000,23.953209,4523700
2007-01-25,28.760000,28.959999,28.010000,28.250000,23.536625,4829700
2007-01-26,28.350000,28.500000,27.580000,27.820000,23.178371,4389500
2007-01-29,27.770000,28.190001,27.700001,27.900000,23.245022,2286600
2007-01-30,28.100000,28.280001,27.770000,27.820000,23.178371,2629600
2007-01-31,27.870001,29.180000,27.770000,29.059999,24.211487,6845900
2007-02-01,29.219999,30.309999,29.120001,29.900000,24.911333,7078000
2007-02-02,29.930000,31.129999,29.930000,30.860001,25.711155,6089300
2007-02-05,30.870001,30.900000,29.930000,30.350000,25.286259,3472100
2007-02-06,30.150000,30.250000,29.639999,29.969999,24.969658,4070800
2007-02-07,30.180000,30.180000,29.469999,29.639999,24.694714,3099200
2007-02-08,29.049999,29.200001,28.610001,28.650000,23.869892,5145500
2007-02-09,28.660000,28.799999,27.740000,28.049999,23.370005,3809600
2007-02-12,28.049999,28.330000,27.250000,27.330000,22.770128,4715300
2007-02-13,27.480000,28.100000,27.450001,27.860001,23.211697,3145900
2007-02-14,27.870001,28.530001,27.840000,28.180000,23.478313,2947600
2007-02-15,28.230000,28.549999,28.190001,28.290001,23.569950,2397600
2007-02-16,28.240000,28.280001,27.520000,28.209999,23.503302,2412700
2007-02-20,28.150000,28.700001,28.010000,28.469999,23.719927,4022300
2007-02-21,28.150000,28.360001,27.530001,28.080000,23.394991,3078200
2007-02-22,28.260000,28.260000,27.120001,27.320000,22.761803,3693900
2007-02-23,27.360001,27.459999,26.730000,27.020000,22.511847,3683400
2007-02-26,27.020000,27.260000,26.559999,26.830000,22.353544,2966000
2007-02-27,26.150000,26.330000,25.370001,25.709999,21.420418,7235000
2007-02-28,25.709999,25.840000,25.049999,25.360001,21.128809,5156700
2007-03-01,25.040001,25.830000,24.510000,25.670000,21.387094,6259200
2007-03-02,25.680000,25.770000,25.250000,25.309999,21.087151,5365400
2007-03-05,24.900000,24.910000,24.180000,24.250000,20.204012,8600400
2007-03-06,24.799999,24.980000,24.320000,24.559999,20.462292,5389000
2007-03-07,24.559999,24.990000,24.430000,24.549999,20.453957,6695200
2007-03-08,24.559999,25.070000,24.530001,24.780001,20.645588,5654600
2007-03-09,24.780001,24.990000,24.200001,24.420000,20.345642,5618900
2007-03-12,24.309999,24.350000,23.020000,23.170000,19.304205,9941200
2007-03-13,22.950001,23.049999,22.020000,22.309999,18.587694,10604700
2007-03-14,22.309999,22.990000,22.030001,22.799999,18.995934,8783400
2007-03-15,22.600000,23.299999,22.549999,22.950001,19.120903,5100500
2007-03-16,23.090000,23.379999,22.780001,22.830000,19.020931,5098500
2007-03-19,22.950001,23.320000,22.830000,22.870001,19.054255,4512700
2007-03-20,22.879999,23.070000,22.549999,22.850000,19.037590,4291300
2007-03-21,22.760000,23.879999,22.670000,23.629999,19.687449,5726700
2007-03-22,23.870001,24.120001,23.350000,23.520000,19.595806,4951700
2007-03-23,23.520000,24.070000,23.230000,23.320000,19.429180,3809700
2007-03-26,23.389999,23.430000,22.660000,22.790001,18.987608,5168300
2007-03-27,22.559999,22.570000,22.010000,22.480000,18.729330,6861900
2007-03-28,22.290001,22.290001,21.809999,22.049999,18.371071,8526500
2007-03-29,22.250000,22.389999,21.790001,22.080000,18.396067,7181500
2007-03-30,22.000000,22.340000,21.809999,22.000000,18.329412,5493600
2007-04-02,22.160000,22.200001,21.580000,21.670000,18.054464,5717200
2007-04-03,21.760000,22.200001,21.580000,21.790001,18.154451,6952300
2007-04-04,21.790001,21.809999,21.540001,21.620001,18.012808,3484000
2007-04-05,21.610001,22.080000,21.450001,22.010000,18.337740,4821400
2007-04-09,22.030001,22.090000,21.639999,22.040001,18.362736,5635600
