,Close
0,1836.14
1,1815.12
2,1856.62
3,1932.28
4,1963.63
5,1927.22
6,1876.14
7,1963.16
8,1992.1
9,1955.74
10,1936.92
11,1995.53
12,2075.54
13,2105.99
14,2145.69
15,2098.18
16,2164.51
17,2222.41
18,2197.19
19,2052.91
20,2051.66
21,1954.97
22,1906.03
23,1954.15
24,2001.37
25,2023.18
26,2003.32
27,2082.4
28,2108.63
29,2174
30,2235.45
31,2232.98
32,2242.76
33,2030.36
34,2096.23
35,2039.68
36,2069.07
37,2019.73
38,2076.87
39,2129.48
40,2150.15
41,2144.22
42,2140.53
43,2149.97
44,2100.56
45,2138.05
46,2107.63
47,2176.15
48,2175.13
49,2192.93
50,2208.47
51,2200.04
52,2230
53,2237.22
54,2277.97
55,2301.48
56,2288.26
57,2342.53
58,2362.98
59,2372.66
60,2392.64
61,2390.64
62,2442.93
63,2473.76
64,2508.47
65,2535.1
66,2517.79
67,2585.34
68,2577.01
69,2558.52
70,2452.55
71,2547.5
72,2651.43
73,2659.21
74,2679.08
75,2702.13
76,2681.3
77,2757.83
78,2831.26
79,2860.31
80,2885.72
81,2867.97
82,2885.51
83,2770.66
84,2828.53
85,2872.79
86,2854.32
87,2864.7
88,2882.66
89,2919.94
90,2906.82
91,2942.51
92,2998.86
93,3050.44
94,2857
95,2940.37
96,2906.59
97,2695.76
98,2778.66
99,2781.32
100,2856.54
101,2856.02
102,2918.3
103,2982.9
104,3045.94
105,3010.16
106,3035.78
107,3133.53
108,3132.3
109,3059.16
110,3109.91
111,3037.51
112,2942.29
113,2966.24
114,3057.34
115,2969.49
116,2915.88
117,2910.89
118,2955.21
119,2877.8
120,2745.97
121,2860.74
122,2939.1
123,2936.94
124,2937.6
125,2969.57
126,2970.34
127,2878.36
128,2956.5
129,2978.9
130,2972.5
131,3102.79
132,3225.64
133,3226.96
134,3304.75
135,3315.02
136,3293.38
137,3359.71
138,3391.86
139,3281.34
140,3362.46
141,3520.14
142,3595.03
143,3612.7
144,3596.28
145,3704.58
146,3707.92
147,3740.57
148,3787.11
149,3799.24
150,3698.95
151,3606.53
152,3831.05
153,3903.66
154,3949.83
155,4013.34
156,4104.66
157,4134.69
158,4147.86
159,4080.08
160,4111.29
161,4150.17
162,4240.64
163,4166.85
164,4147.75
165,4204.8
166,4111.93
167,4172.81
168,3992.03
169,4035.72
170,4143.11
171,4165.57
172,4237.92
173,4204.7
174,4161.59
175,4222.42
176,4197.04
177,4231.75
178,4193.06
179,4140.32
180,4189.12
181,4307.42
182,4401.28
183,4425.7
184,4445.96
185,4577.88
186,4578.69
187,4694.31
188,4731.83
189,4684.11
190,4508.66
191,4494.56
192,4390.27
193,4475.44
194,4550.56
195,4364.12
196,4429.98
197,4527.12
198,4592.33
199,4627.78
200,4607.22
201,4543.16
202,4410.97
203,4344.89
204,4383.63
205,4154.97
206,4139.57
207,4107.34
208,4071.3
209,4247.16
210,4201.79
211,4133.35
212,4086.38
213,4136.08
214,4064.78
215,3895.95
216,3961.37
217,3910.46
218,3829.73
219,3784.28
220,3975.71
221,3880.34
222,3910.13
223,3963.19
224,4070.82
225,4070.16
226,4122.06
227,4165.86
228,4159.43
229,4083.59
230,3948.74
231,4008.88
232,3876.14
233,3849.15
234,3953.05
235,4040.04
236,4081.01
237,4172.44
238,4162.08
239,4175.56
240,4258.55
241,4226.76
242,4219.69
243,4230.42
244,4282.69
245,4330.27
246,4358.1
247,4405.92
248,4431.46
249,4481.49
250,4499.14
251,4440.82
252,4274.02
253,4178.71
254,4195.95
255,3975.71
256,3679.01
257,3822.82
258,3818.33
259,3875.58
260,3597.26
261,3611.98
262,3541.08
263,3497.92
264,3500.05
265,3796.13
266,3766.16
267,3660.16
268,3706.97
269,3646.18
270,3709.07
271,3787.03
272,3676.47
273,3620.85
274,3466.2
275,3331.99
276,3363.7
277,3459.78
278,3435.45
279,3470.6
280,3539.43
281,3424.79
282,3380.65
283,3445.75
284,3395.61
285,3256.44
286,3264.57
287,3164.78
288,3111.84
289,3084.45
290,2984.06
291,2869.61
292,2945.23
293,3011.78
294,3021.58
295,2869.28
296,2884.62
297,2896.69
298,2760.45
299,2910.51
300,2823.97
301,2713.49
302,2744.65
303,2828.63
304,2954.23
305,2969.61
306,2803.15
307,2840.55
308,2865.45
309,2685.01
310,2715.74
311,2654.9
312,2588.76
313,2511.36
314,2545.52
315,2595.69
316,2718.25
317,2981.19
