Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,24.180000,24.440001,24.139999,24.290001,14.093617,15753400
2007-01-04,24.209999,24.350000,24.125000,24.299999,14.099414,11810400
2007-01-05,24.250000,24.285000,24.084999,24.129999,14.000785,11607000
2007-01-08,24.004999,24.334999,24.004999,24.285000,14.090715,17551000
2007-01-09,24.270000,24.415001,24.230000,24.305000,14.102318,13724000
2007-01-10,24.245001,24.395000,24.184999,24.340000,14.122625,8928000
2007-01-11,24.375000,24.434999,24.299999,24.370001,14.140034,11009600
2007-01-12,24.299999,24.334999,24.125000,24.275000,14.084914,13667200
2007-01-16,24.240000,24.344999,24.170000,24.250000,14.070407,12685200
2007-01-17,24.264999,24.430000,24.240000,24.299999,14.099414,14400200
2007-01-18,24.209999,24.500000,24.100000,24.174999,14.026892,15223000
2007-01-19,24.205000,24.215000,24.035000,24.129999,14.000785,13008200
2007-01-22,24.055000,24.174999,23.995001,24.014999,13.934052,12198800
2007-01-23,24.075001,24.115000,23.969999,24.059999,13.960165,12149000
2007-01-24,24.094999,24.100000,23.969999,24.065001,13.963063,8641600
2007-01-25,24.035000,24.110001,23.950001,23.969999,13.907944,11596600
2007-01-26,24.000000,24.049999,23.900000,23.915001,13.876035,14459000
2007-01-29,23.879999,23.959999,23.780001,23.855000,13.841219,10077800
2007-01-30,23.915001,23.975000,23.820000,23.905001,13.870228,8986000
2007-01-31,23.900000,23.985001,23.745001,23.940001,13.890537,10604400
2007-02-01,23.995001,24.135000,23.924999,24.049999,13.954366,10398600
2007-02-02,24.049999,24.205000,24.020000,24.120001,13.994978,10703600
2007-02-05,24.055000,24.120001,23.920000,23.950001,13.896339,9192800
2007-02-06,24.000000,24.080000,23.930000,24.025000,13.939857,11168800
2007-02-07,24.014999,24.065001,23.930000,24.014999,13.934052,9242400
2007-02-08,23.975000,24.025000,23.825001,23.930000,13.884740,9076600
2007-02-09,23.860001,23.995001,23.820000,23.879999,13.855724,9828400
2007-02-12,23.924999,24.184999,23.900000,23.959999,13.902142,13925400
2007-02-13,24.049999,24.209999,24.045000,24.105000,13.986276,19411800
2007-02-14,24.250000,24.275000,23.865000,23.940001,13.890537,32846800
2007-02-15,23.995001,24.049999,23.790001,23.924999,13.881836,19195000
2007-02-16,24.000000,24.049999,23.879999,23.934999,13.887641,17492200
2007-02-20,23.760000,23.940001,23.750000,23.889999,13.861526,17828800
2007-02-21,23.775000,23.889999,23.760000,23.785000,13.800602,16489600
