expT,K,call_bid,call_ask,put_bid,put_ask
 0.13 ,240,29.52,29.74,1.52,1.54
 0.13 ,245,24.87,25.09,1.89,1.91
 0.13 ,250,20.36,20.55,2.38,2.4
 0.13 ,255,16.02,16.19,3.03,3.07
 0.13 ,260,11.95,12.08,3.94,3.98
 0.13 ,265,8.27,8.33,5.24,5.28
 0.13 ,270,5.1,5.16,7.08,7.14
 0.13 ,275,2.71,2.74,9.67,9.82
 0.13 ,280,1.22,1.24,13.25,13.49
 0.38 ,220,50.04,50.31,2.44,2.46
 0.38 ,225,45.46,45.71,2.84,2.86
 0.38 ,230,40.93,41.17,3.3,3.33
 0.38 ,235,36.48,36.71,3.84,3.87
 0.38 ,240,32.13,32.34,4.47,4.51
 0.38 ,245,27.89,28.08,5.21,5.27
 0.38 ,250,23.78,23.95,6.1,6.16
 0.38 ,255,19.85,20,7.15,7.23
 0.38 ,260,16.11,16.24,8.41,8.5
 0.38 ,265,12.63,12.75,9.95,10.04
 0.38 ,270,9.47,9.57,11.8,11.92
 0.38 ,275,6.71,6.79,14.04,14.21
 0.38 ,280,4.47,4.52,16.8,17.01
 0.38 ,285,2.76,2.82,20.13,20.39
 0.38 ,290,1.62,1.67,24.03,24.34
 0.38 ,295,0.92,0.96,28.43,28.78
 0.56 ,210,60.55,60.88,2.69,2.73
 0.56 ,215,56,56.3,3.09,3.13
 0.56 ,220,51.5,51.8,3.54,3.58
 0.56 ,225,47.06,47.3,4.05,4.1
 0.56 ,230,42.69,42.95,4.64,4.7
 0.56 ,235,38.38,38.64,5.31,5.37
 0.56 ,240,34.19,34.43,6.07,6.15
 0.56 ,245,30.11,30.3,6.95,7.03
 0.56 ,250,26.16,26.33,7.97,8.05
 0.56 ,255,22.35,22.5,9.14,9.23
 0.56 ,260,18.71,18.86,10.48,10.59
 0.56 ,265,15.29,15.41,12.06,12.18
 0.56 ,270,12.12,12.23,13.9,14.02
 0.56 ,275,9.26,9.35,16.05,16.18
 0.56 ,280,6.78,6.86,18.6,18.8
 0.56 ,285,4.73,4.81,21.6,21.85
 0.56 ,290,3.16,3.23,25.09,25.42
 0.56 ,295,2.04,2.1,29.05,29.41
 0.56 ,300,1.28,1.33,33.43,33.83
