expDays,expT,K,call_bid,call_ask,put_bid,put_ask,call_mean,put_mean
49,0.13,240,29.52,29.74,1.52,1.54,29.63,1.53
49,0.13,245,24.87,25.09,1.89,1.91,24.98,1.9
49,0.13,250,20.36,20.55,2.38,2.4,20.455,2.39
49,0.13,255,16.02,16.19,3.03,3.07,16.105,3.05
49,0.13,260,11.95,12.08,3.94,3.98,12.015,3.96
49,0.13,265,8.27,8.33,5.24,5.28,8.3,5.26
49,0.13,270,5.1,5.16,7.08,7.14,5.13,7.11
49,0.13,275,2.71,2.74,9.67,9.82,2.725,9.745
49,0.13,280,1.22,1.24,13.25,13.49,1.23,13.37
140,0.38,220,50.04,50.31,2.44,2.46,50.175,2.45
140,0.38,225,45.46,45.71,2.84,2.86,45.585,2.85
140,0.38,230,40.93,41.17,3.3,3.33,41.05,3.315
140,0.38,235,36.48,36.71,3.84,3.87,36.595,3.855
140,0.38,240,32.13,32.34,4.47,4.51,32.235,4.49
140,0.38,245,27.89,28.08,5.21,5.27,27.985,5.24
140,0.38,250,23.78,23.95,6.1,6.16,23.865,6.13
140,0.38,255,19.85,20,7.15,7.23,19.925,7.19
140,0.38,260,16.11,16.24,8.41,8.5,16.175,8.455
140,0.38,265,12.63,12.75,9.95,10.04,12.69,9.995
140,0.38,270,9.47,9.57,11.8,11.92,9.52,11.86
140,0.38,275,6.71,6.79,14.04,14.21,6.75,14.125
140,0.38,280,4.47,4.52,16.8,17.01,4.495,16.905
140,0.38,285,2.76,2.82,20.13,20.39,2.79,20.26
140,0.38,290,1.62,1.67,24.03,24.34,1.645,24.185
140,0.38,295,0.92,0.96,28.43,28.78,0.94,28.605
203,0.56,210,60.55,60.88,2.69,2.73,60.715,2.71
203,0.56,215,56,56.3,3.09,3.13,56.15,3.11
203,0.56,220,51.5,51.8,3.54,3.58,51.65,3.56
203,0.56,225,47.06,47.3,4.05,4.1,47.18,4.075
203,0.56,230,42.69,42.95,4.64,4.7,42.82,4.67
203,0.56,235,38.38,38.64,5.31,5.37,38.51,5.34
203,0.56,240,34.19,34.43,6.07,6.15,34.31,6.11
203,0.56,245,30.11,30.3,6.95,7.03,30.205,6.99
203,0.56,250,26.16,26.33,7.97,8.05,26.245,8.01
203,0.56,255,22.35,22.5,9.14,9.23,22.425,9.185
203,0.56,260,18.71,18.86,10.48,10.59,18.785,10.535
203,0.56,265,15.29,15.41,12.06,12.18,15.35,12.12
203,0.56,270,12.12,12.23,13.9,14.02,12.175,13.96
203,0.56,275,9.26,9.35,16.05,16.18,9.305,16.115
203,0.56,280,6.78,6.86,18.6,18.8,6.82,18.7
203,0.56,285,4.73,4.81,21.6,21.85,4.77,21.725
203,0.56,290,3.16,3.23,25.09,25.42,3.195,25.255
203,0.56,295,2.04,2.1,29.05,29.41,2.07,29.23
203,0.56,300,1.28,1.33,33.43,33.83,1.305,33.63
