Date,alpha,rho,sigma,alpha,rho,sigma,alpha,rho,sigma,se_13_alpha,se_13_rho,se_13_sigma,se_23_alpha,se_23_rho,se_23_sigma
1/5/2018,1.617024672,-0.830445299,1.626402649,2.297148616,-0.514457912,1.423719754,1.041455595,-1,1.716480315,0.331279763,0.028748797,0.008113986,1.576764965,0.23575112,0.085708746
1/8/2018,1.479959854,-0.842094352,1.628520352,0.363414261,-1,1.900423715,1.929171474,-0.661914924,1.508000795,0.20179108,0.032464626,0.014524964,2.451595652,0.114301518,0.153995748
1/9/2018,1.675481967,-0.793240982,1.606802453,2.7982851,-0.27979087,1.29025932,2.080937235,-0.614479524,1.506976268,0.164393974,0.031955659,0.009965267,0.51458796,0.112016495,0.046966236
1/10/2018,1.700016528,-0.762499799,1.63507921,1.499681792,-0.852122025,1.666022117,2.027784023,-0.62590761,1.503148246,0.107431531,0.018657426,0.017405779,0.278891966,0.051172962,0.026527898
1/11/2018,1.850065134,-0.72975426,1.589144462,2.245844769,-0.505893369,1.451936417,2.14437497,-0.596951915,1.443928916,0.08661828,0.017636463,0.021087555,0.01029612,0.008291659,6.41E-05
1/12/2018,1.90612134,-0.717939584,1.556161768,1.930534644,-0.686860043,1.500658465,2.135122553,-0.565469964,1.476770664,0.052441555,0.023246985,0.006302947,0.041856212,0.014735551,0.000570627
1/16/2018,1.910980683,-0.707952722,1.57632765,2.141983003,-0.516394138,1.490364315,1.994104998,-0.635449333,1.670025618,0.006909652,0.005256742,0.008779309,0.021867904,0.014174139,0.032278184
1/17/2018,1.881519345,-0.725805707,1.699988629,1.770832994,-0.720625651,1.742145025,1.833121164,-0.572730079,1.635272254,0.002342384,0.023432148,0.004188209,0.003879816,0.0218731,0.011421789
1/18/2018,1.768300287,-0.723299507,1.683764841,1.853791096,-0.517154236,1.641807345,2.078809473,-0.568000088,1.61978445,0.096415954,0.02411791,0.00409349,0.05063327,0.002585301,0.000485008
1/19/2018,1.824607526,-0.708555669,1.714015952,2.051486453,-0.630038262,1.627380243,1.812209794,-0.603585087,1.635289475,0.000153704,0.011018823,0.006197858,0.057253319,0.00069977,6.26E-05
1/22/2018,1.748989608,-0.709543788,1.690327139,1.64755407,-0.617744959,1.69288254,1.805362599,-0.633058635,1.654719136,0.003177914,0.005849979,0.00126793,0.024903532,0.000234509,0.001456445
1/23/2018,1.762492357,-0.718028504,1.696269816,1.818693822,-0.663799058,1.656372203,1.840686202,-0.584842949,1.673994886,0.006114277,0.017738392,0.000496173,0.000483665,0.006234067,0.000310559
1/24/2018,1.712884646,-0.718190482,1.729750751,1.812713256,-0.560443131,1.699981384,2.033247016,-0.518033506,1.66512845,0.102632048,0.040062815,0.004176042,0.048635139,0.001798576,0.001214727
1/25/2018,1.758553896,-0.703429351,1.755288957,2.050386817,-0.528568574,1.669568965,1.831358352,-0.561239831,1.734532468,0.005300489,0.02021786,0.000430832,0.047973469,0.001067411,0.004220257
1/26/2018,1.733257035,-0.698392673,1.779454929,1.654155006,-0.614433419,1.796584336,1.834176816,-0.533974972,1.725998196,0.010184802,0.02703318,0.002857622,0.032407852,0.006473562,0.004982403
1/29/2018,1.729210203,-0.691763505,1.778255412,1.892422183,-0.521244278,1.722147396,1.793224105,-0.585285164,1.945745497,0.00409778,0.011337637,0.028052929,0.009840259,0.004101235,0.049996111
1/30/2018,1.689697836,-0.70959806,1.949029547,1.659811736,-0.637334862,2.003551395,1.822823441,-0.665252887,2.031990921,0.017722427,0.001966494,0.00688259,0.026572816,0.000779416,0.000808807
1/31/2018,1.65883614,-0.751836437,2.043397935,1.808207473,-0.698858646,2.028238261,1.82662321,-0.622188595,1.953392855,0.028152501,0.016808563,0.008100914,0.000339139,0.005878297,0.005601835
2/1/2018,1.648737786,-0.75686585,2.016668468,1.784021201,-0.608665457,1.958016254,1.776661063,-0.644927267,1.940871188,0.016364365,0.012530246,0.005745228,5.42E-05,0.001314919,0.000293953
2/2/2018,1.664851022,-0.753870602,1.993030451,1.696701427,-0.694347594,1.955208612,1.733390723,-0.735222751,2.264538273,0.004697691,0.000347742,0.073716498,0.001346104,0.001670778,0.095684839
2/5/2018,1.649437898,-0.789009219,2.227140242,1.65213045,-0.743193031,2.297253678,1.920303367,-0.878245368,3.833617748,0.073368102,0.00796309,2.580769976,0.071916713,0.018239134,2.360414556
2/6/2018,1.588078984,-0.944089728,3.512087412,1.763679172,-0.815165141,3.93524039,2.344436354,-0.559332498,2.692170227,0.572076472,0.148038126,0.67226419,0.337278905,0.065450341,1.545223428
2/7/2018,1.394065327,-0.958043438,2.925936085,2.489846642,-0.570493257,2.478599042,2.34246788,-0.622366191,2.574133752,0.899467402,0.112679214,0.123764882,0.021720499,0.002690801,0.009126881
2/8/2018,1.864425314,-0.799374283,2.794464607,2.011347616,-0.695482598,2.616802993,1.647260851,-0.757048103,3.45115624,0.047160404,0.001791506,0.431243901,0.132559172,0.003790311,0.696145341
2/9/2018,1.656241034,-0.871310896,3.270903688,1.324674777,-0.74835281,3.55508749,1.46098695,-0.792895451,3.221343674,0.038124157,0.006148982,0.002456195,0.018581009,0.001984047,0.111384934
2/12/2018,1.339929245,-0.939403154,3.162635702,1.462302861,-0.874929309,3.123721996,1.788749187,-0.737750942,2.783487597,0.201439341,0.040663615,0.143753286,0.106567204,0.018817905,0.115759446
2/13/2018,1.429567838,-0.875820136,2.920417723,1.88193575,-0.701626422,2.682401097,1.799185464,-0.722632455,2.735767098,0.136617189,0.023466466,0.034095853,0.00684761,0.000441253,0.00284793
2/14/2018,1.506715003,-0.853251901,2.81858406,1.634289687,-0.759919869,2.739630237,1.545220897,-0.778138905,2.498606648,0.001482704,0.005641962,0.102385544,0.007933249,0.000331933,0.05809237
2/15/2018,1.47997879,-0.854792268,2.54880908,1.453323877,-0.830882069,2.465827152,2.665684113,-0.160087919,1.964370234,1.405897113,0.482614133,0.341568765,1.469817343,0.449964791,0.251459041
2/16/2018,1.754172616,-0.702362256,2.285694132,3.238164877,0.148234944,1.804166498,1.774949679,-0.663235014,2.364666057,0.000431686,0.001530941,0.006236565,2.140998714,0.658483494,0.314159756
2/20/2018,1.72248088,-0.713920921,2.358498977,0.716053652,-1,2.626101423,1.855622801,-0.728254084,2.457381376,0.017726771,0.00020544,0.009777729,1.298617844,0.073845843,0.028466454
